vac1daily	vac2daily	vac1dailyCum	vac2dailyCum
511	8.57142857	4.85714285	19280.14285681	12686.71428563
512	8.57142857	4.85714285	19288.71428538	12691.57142848
513	8.57142857	4.85714285	19297.28571395	12696.42857133
514	8.57142857	4.85714285	19305.85714252	12701.28571418
515	8.57142857	4.85714285	19314.42857109	12706.14285703
516	8.57142857	4.85714285	19322.99999966	12710.99999988
517	7.42857143	7.71428572	19330.42857109	12718.7142856
518	7.42857143	7.71428572	19337.85714252	12726.42857132
519	7.42857143	7.71428572	19345.28571395	12734.14285704
520	7.42857143	7.71428572	19352.71428538	12741.85714276
521	7.42857143	7.71428572	19360.14285681	12749.57142848
522	7.42857143	7.71428572	19367.57142824	12757.2857142
523	7.42857143	7.71428572	19374.99999967	12764.99999992
524	8.71428572	6.71428572	19383.71428539	12771.71428564
525	8.71428572	6.71428572	19392.42857111	12778.42857136
526	8.71428572	6.71428572	19401.14285683	12785.14285708
527	8.71428572	6.71428572	19409.85714255	12791.8571428
528	8.71428572	6.71428572	19418.57142827	12798.57142852
529	8.71428572	6.71428572	19427.28571399	12805.28571424
530	8.71428572	6.71428572	19435.99999971	12811.99999996
531	7.85714285	8.57142857	19443.85714256	12820.57142853
532	7.85714285	8.57142857	19451.71428541	12829.1428571
533	7.85714285	8.57142857	19459.57142826	12837.71428567
534	7.85714285	8.57142857	19467.42857111	12846.28571424
535	7.85714285	8.57142857	19475.28571396	12854.85714281
536	7.85714285	8.57142857	19483.14285681	12863.42857138
537	7.85714285	8.57142857	19490.99999966	12871.99999995
538	3.85714285	8.42857143	19494.85714251	12880.42857138
539	3.85714285	8.42857143	19498.71428536	12888.85714281
540	3.85714285	8.42857143	19502.57142821	12897.28571424
541	3.85714285	8.42857143	19506.42857106	12905.71428567
542	3.85714285	8.42857143	19510.28571391	12914.1428571
543	3.85714285	8.42857143	19514.14285676	12922.57142853
544	3.85714285	8.42857143	19517.99999961	12930.99999996
545	1	5.28571428	19518.99999961	12936.28571424
546	1	5.28571428	19519.99999961	12941.57142852
547	1	5.28571428	19520.99999961	12946.8571428
548	1	5.28571428	19521.99999961	12952.14285708
549	1	5.28571428	19522.99999961	12957.42857136
550	1	5.28571428	19523.99999961	12962.71428564
551	1	5.28571428	19524.99999961	12967.99999992
552	1.85714285	11.14285715	19526.85714246	12979.14285707
553	1.85714285	11.14285715	19528.71428531	12990.28571422
554	1.85714285	11.14285715	19530.57142816	13001.42857137
555	1.85714285	11.14285715	19532.42857101	13012.57142852
556	1.85714285	11.14285715	19534.28571386	13023.71428567
557	1.85714285	11.14285715	19536.14285671	13034.85714282
558	1.85714285	11.14285715	19537.99999956	13045.99999997
559	0.42857143	8.71428572	19538.42857099	13054.71428569
560	0.42857143	8.71428572	19538.85714242	13063.42857141
561	0.42857143	8.71428572	19539.28571385	13072.14285713
562	0.42857143	8.71428572	19539.71428528	13080.85714285
563	0.42857143	8.71428572	19540.14285671	13089.57142857
564	0.42857143	8.71428572	19540.57142814	13098.28571429
565	0.42857143	8.71428572	19540.99999957	13107.00000001
566	0.85714285	5.71428572	19541.85714242	13112.71428573
567	0.85714285	5.71428572	19542.71428527	13118.42857145
568	0.85714285	5.71428572	19543.57142812	13124.14285717
569	0.85714285	5.71428572	19544.42857097	13129.85714289
570	0.85714285	5.71428572	19545.28571382	13135.57142861
571	0.85714285	5.71428572	19546.14285667	13141.28571433
572	0.85714285	5.71428572	19546.99999952	13147.00000005
573	0.14285715	1	19547.14285667	13148.00000005
574	0.14285715	1	19547.28571382	13149.00000005
575	0.14285715	1	19547.42857097	13150.00000005
576	0.14285715	1	19547.57142812	13151.00000005
577	0.14285715	1	19547.71428527	13152.00000005
578	0.14285715	1	19547.85714242	13153.00000005
579	0.14285715	1	19547.99999957	13154.00000005
580	0.14285715	0.71428572	19548.14285672	13154.71428577
581	0.14285715	0.71428572	19548.28571387	13155.42857149
582	0.14285715	0.71428572	19548.42857102	13156.14285721
583	0.14285715	0.71428572	19548.57142817	13156.85714293
584	0.14285715	0.71428572	19548.71428532	13157.57142865
585	0.14285715	0.71428572	19548.85714247	13158.28571437
586	0.14285715	0.71428572	19548.99999962	13159.00000009
587	0.42857143	2	19549.42857105	13161.00000009
588	0.42857143	2	19549.85714248	13163.00000009
589	0.42857143	2	19550.28571391	13165.00000009
590	0.42857143	2	19550.71428534	13167.00000009
591	0.42857143	2	19551.14285677	13169.00000009
